OBJECTID,ctyua19cd,ctyua19nm,ctyua19nmw,bng_e,bng_n,long,lat,Shape__Area,Shape__Length,GlobalID
83,E08000028,Sandwell, ,399573,290764,-2.00771,52.514771,85222122.4991226,48306.2485949547,d8267d23-1823-4b71-b0ef-9f06c91695fe
84,E08000029,Solihull, ,419434,281483,-1.71558,52.431,177542587.9058,82695.460772941,a97af09f-f714-48d8-977f-a22616220331
85,E08000030,Walsall, ,402098,300804,-1.97044,52.60503,104027261.810837,49836.8728324194,b6491bab-fcdd-44fa-aab9-27317ec6db21
86,E08000031,Wolverhampton, ,391463,300016,-2.12746,52.597881,69466620.7597809,41126.9610793456,a88d0c1c-cf9b-49eb-a289-09158c3621a7
87,E08000032,Bradford, ,408395,438626,-1.87389,53.843819,368386843.278992,113226.190390702,1dacd6d7-9496-4916-a015-b3192ff4e063
88,E08000033,Calderdale, ,402617,424896,-1.96182,53.720482,367618489.551361,94050.2456636643,cd909439-1097-4d68-a105-b1f335f554f2
89,E08000034,Kirklees, ,414586,416223,-1.78085,53.64233,405306353.685074,106837.808448509,7c443fbc-b70c-4ae0-948a-894424bd4249
90,E08000035,Leeds, ,432528,436384,-1.50736,53.822731,550578568.510788,133753.100810661,589c8cf5-d9f9-4f28-966d-b0d1780e1fca
91,E08000036,Wakefield, ,438366,418235,-1.42092,53.659222,337273074.664536,90373.7393822213,55e5420e-9e24-43e5-a97a-9b00799cfc0f
92,E08000037,Gateshead, ,420168,559658,-1.6868,54.931198,145563182.476349,68298.6074575551,6617bd6a-9fc2-49b2-80bf-eb5730da0adb
93,E09000001,City of London, ,532381,181359,-0.09353,51.515652,2505777.02787018,6744.9594991479,dd838e9c-2cc3-46c1-a4a9-6dd18811b570
94,E09000002,Barking and Dagenham, ,547757,185111,0.129479,51.545551,36924214.3391876,30967.5889455706,d03864fd-4a92-4eb5-9bb3-5d4dbc318ab0
95,E09000003,Barnet, ,523472,191753,-0.21821,51.61108,86643073.1183853,41838.7863086425,3921a178-5b8c-49e5-9712-beb551f97207
96,E09000004,Bexley, ,549203,175435,0.146227,51.458229,60423297.1621094,36180.6204259309,06ebb9f2-f85e-466a-98e0-ad26dd86dd15
97,E09000005,Brent, ,519615,186468,-0.27568,51.564411,44168269.9006042,33233.9122796257,78982201-c5c8-45da-91c5-1eb227fa1311
98,E09000006,Bromley, ,542036,165708,0.039246,51.372669,150198156.303879,63033.4499382761,80ae818d-a6d0-4f90-b593-c89c5cdc65bb
99,E09000007,Camden, ,527492,184284,-0.16289,51.54306,21274131.0329132,22056.4535363455,765204da-d86a-4d06-918d-721b6173c825
100,E09000008,Croydon, ,533922,164745,-0.07761,51.365978,85993776.89077,46725.3082664992,0bc34255-6635-48e0-9382-b1caa58bdec4
101,E09000009,Ealing, ,517057,181960,-0.31407,51.524429,54712230.1551514,39308.2766403889,c0485f90-087d-4df5-9539-0f522b910dd1
102,E09000010,Enfield, ,532829,196197,-0.08147,51.64888,83022176.2666702,37692.7193126975,d30a33aa-694b-4222-8cd5-2b561a88ffd3
103,E09000011,Greenwich, ,542508,175878,0.050107,51.463928,47629632.1074219,36587.9998016028,8479f289-5fe0-4919-ae8f-7bea62efac53
104,E09000012,Hackney, ,534560,185787,-0.06045,51.55492,19833986.2849503,21347.1681882345,dc2c4206-e196-4504-ade1-75592cdd486a
105,E09000013,Hammersmith and Fulham, ,523867,177993,-0.21735,51.487331,17587229.6356506,20818.2219430817,5c819ac3-f75e-4e47-a204-e4b46348103e
106,E09000014,Haringey, ,531262,189349,-0.10667,51.587711,28655635.1073761,25651.9550307946,416a54eb-decb-4d64-b394-f7532a24c87c
107,E09000015,Harrow, ,515356,189736,-0.33603,51.594669,51786258.0117416,31190.5711334874,ccd7656d-ab5b-4753-9ae4-705d5383d3f2
108,E09000016,Havering, ,555032,187514,0.235368,51.565189,113836320.122536,56527.1724231725,808c7ae2-5217-44b5-b069-eba06ddfdd66
109,E09000017,Hillingdon, ,508166,183120,-0.44182,51.536629,115520674.208,55989.0397599779,fddc65e6-d2a7-46b5-80f5-c816630ddc9f
110,E09000018,Hounslow, ,512742,174965,-0.37847,51.462429,55053197.9539337,46819.5788885995,c8584d03-b324-4823-b165-ef3150ebd554
111,E09000019,Islington, ,531158,184647,-0.10992,51.545479,15152148.9488754,17531.1070758061,db6f2f5f-8dfc-4a45-8773-bab62854a7e9
112,E09000020,Kensington and Chelsea, ,525757,179053,-0.18976,51.496441,11701510.1005249,17908.0138759111,65aa0bcb-c618-4917-b895-60a72e516a6b
113,E09000021,Kingston upon Thames, ,519508,167389,-0.28367,51.39296,38007491.6151581,33047.6953786389,c1faf409-c9ad-40e1-9282-50e463922fec
114,E09000022,Lambeth, ,531118,175629,-0.11385,51.464451,26699841.4302673,28992.7973091662,c5ce26c3-21e6-4209-8a72-5dc61f756040
115,E09000023,Lewisham, ,537889,173344,-0.01733,51.44231,34283465.7745743,30696.0849939121,b01dec47-d8f4-4213-8412-0bb691f88d31
116,E09000024,Merton, ,526069,169507,-0.18867,51.410568,37361486.4314041,27902.7796528634,9432a9b5-ce14-42fc-8e93-cae45c98dfe8
117,E09000025,Newham, ,540715,183344,0.027289,51.531471,36598559.5451279,25147.5665661036,955218c7-a71a-40d8-9069-3d384ea67099
118,E09000026,Redbridge, ,543511,189478,0.070071,51.585892,56904414.9598923,35940.741660093,57a7d931-f96f-4683-bfe0-2062a03cd1fe
119,E09000027,Richmond upon Thames, ,519005,172650,-0.28914,51.44035,59203313.3047943,45618.5875248419,acda1a2f-8771-4355-9ab2-9b5cec1e1dcd
